Array Length,5000,Time(Microseconds),151592
Array Length,5000,Time(Microseconds),144907
Array Length,5000,Time(Microseconds),130767
Array Length,25000,Time(Microseconds),1354302
Array Length,25000,Time(Microseconds),1346105
Array Length,25000,Time(Microseconds),1374266
Array Length,50000,Time(Microseconds),5474383
Array Length,50000,Time(Microseconds),5890348
Array Length,50000,Time(Microseconds),5896146
Array Length,5000,Time(Microseconds),221768
Array Length,5000,Time(Microseconds),177112
Array Length,5000,Time(Microseconds),156886
Array Length,25000,Time(Microseconds),1102595
Array Length,25000,Time(Microseconds),1241460
Array Length,25000,Time(Microseconds),1038667
Array Length,50000,Time(Microseconds),5298948
Array Length,50000,Time(Microseconds),5219736
Array Length,50000,Time(Microseconds),3959281
